批次,密码数量,串行时间(秒),二路SIMD时间(秒),四路SIMD时间(秒),八路SIMD时间(秒),二路加速比,四路加速比,八路加速比
1,1051391,0.332078,0.246527,0.246081,0.212715,1.34702,1.34947,1.56114
2,1047659,0.292949,0.248828,0.23306,0.199972,1.17732,1.25697,1.46495
3,1005814,0.299257,0.230666,0.24006,0.187999,1.29736,1.24659,1.5918
4,1139117,0.350639,0.268052,0.215526,0.18899,1.3081,1.6269,1.85533
5,1128592,0.345816,0.244728,0.210813,0.146633,1.41306,1.64039,2.35838
6,1064272,0.266365,0.189363,0.186059,0.192461,1.40664,1.43162,1.38399
7,1044575,0.318936,0.188073,0.161533,0.156459,1.69581,1.97443,2.03846
8,1001665,0.275404,0.196558,0.224115,0.190163,1.40113,1.22885,1.44825
9,1045737,0.299699,0.21779,0.231346,0.150424,1.37609,1.29546,1.99236

总计汇总,总密码数量,串行总时间(秒),二路SIMD总时间(秒),四路SIMD总时间(秒),八路SIMD总时间(秒),二路总加速比,四路总加速比,八路总加速比
总计,9528822,2.78114,2.03058,1.94859,1.62582,1.36963,1.42726,1.71061
每秒处理密码数,,3.42623e+06,4.69265e+06,4.8901e+06,5.86095e+06,,,
